Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Aaron Judge,33,NYY,AL,9.7,152,679,541,137,179,30,2,53,114,12,5,124,160,.331,.457,.688,1.144,215,.461,212,372,16,7,0,7,36,9D/H,ASMVP-1SS,judgeaa01
2,Cal Raleigh#,28,SEA,AL,7.4,159,705,596,110,147,24,0,60,125,14,4,97,188,.247,.359,.589,.948,169,.392,165,351,6,9,0,3,17,*2D/H,ASMVP-2SS,raleica01
3,Bobby Witt Jr.,25,KCR,AL,7.1,157,687,623,99,184,47,6,23,88,38,9,49,125,.295,.351,.501,.852,136,.370,136,312,7,8,0,7,8,*6/D,ASMVP-4GGSS,wittbo02
4,Geraldo Perdomo#,25,ARI,NL,7.0,161,720,597,98,173,33,5,20,100,27,6,94,83,.290,.389,.462,.851,136,.382,139,276,11,10,8,11,1,*6/H,MVP-4SS,perdoge01
5,Julio Rodríguez,24,SEA,AL,6.8,160,710,652,106,174,31,4,32,95,30,6,44,152,.267,.324,.474,.798,128,.353,133,309,15,12,0,2,5,*8/DH,ASMVP-6,rodriju01
6,Shohei Ohtani*,30,LAD,NL,6.6,158,727,611,146,172,25,9,55,102,20,6,109,187,.282,.392,.622,1.014,179,.423,175,380,9,3,0,2,20,*D1,ASMVP-1SS,ohtansh01
7,Juan Soto*,26,NYM,NL,6.2,160,715,577,120,152,20,1,43,105,38,4,127,137,.263,.396,.525,.921,160,.410,163,303,17,3,1,6,13,*9/D,MVP-3SS,sotoju01
8,Nico Hoerner,28,CHC,NL,6.2,156,649,599,89,178,29,4,7,61,29,6,39,49,.297,.345,.394,.739,114,.338,118,236,4,7,0,4,1,*4/6,MVP-19GG,hoernni01
9,Corey Seager*,31,TEX,AL,6.2,102,445,380,61,103,19,0,21,50,3,0,58,87,.271,.373,.487,.860,151,.370,153,185,13,5,0,2,10,6/D,,seageco01
10,Matt Olson*,31,ATL,NL,6.0,162,724,624,98,170,41,2,29,95,1,0,91,176,.272,.366,.484,.850,138,.368,136,302,14,4,0,5,2,*3,ASMVP-18GG,olsonma02
11,Pete Crow-Armstrong*,23,CHC,NL,6.0,157,647,591,91,146,37,4,31,95,35,8,29,155,.247,.287,.481,.768,118,.337,117,284,1,9,6,12,1,*8/HD,ASMVP-9GG,crowape01
12,Fernando Tatis Jr.,26,SDP,NL,5.9,155,691,594,111,159,27,2,25,71,32,7,89,129,.268,.368,.446,.814,125,.368,129,265,6,6,0,2,7,*9/D,ASMVP-8GG,tatisfe02
13,Francisco Lindor#,31,NYM,NL,5.9,160,732,644,117,172,35,0,31,86,31,6,65,131,.267,.346,.466,.811,129,.359,129,300,9,16,0,7,2,*6/DH,ASMVP-10,lindofr01
14,Corbin Carroll*,24,ARI,NL,5.8,143,642,564,107,146,32,17,31,84,32,6,67,153,.259,.343,.541,.883,140,.382,137,305,6,7,0,4,4,*9/8DH,ASMVP-6SS,carroco02
15,José Ramírez#,32,CLE,AL,5.8,158,673,593,103,168,34,3,30,85,44,7,66,74,.283,.360,.503,.863,137,.372,134,298,9,8,0,5,22,*5D,ASMVP-3SS,ramirjo01
16,Maikel Garcia,25,KCR,AL,5.8,160,666,595,81,170,39,5,16,74,23,9,62,84,.286,.351,.449,.800,123,.348,123,267,14,1,3,5,0,*564/8DH9,ASMVP-14GG,garcima01
17,Jeremy Peña,27,HOU,AL,5.6,125,543,493,68,150,30,2,17,62,20,2,35,93,.304,.363,.477,.840,132,.368,132,235,9,12,1,2,2,*6/HD,ASMVP-10,penaje02
18,Wyatt Langford,23,TEX,AL,5.6,134,573,489,73,118,25,1,22,62,22,6,74,151,.241,.344,.431,.775,127,.342,130,211,9,5,0,5,3,*78/H,,langfwy01
19,Brice Turang*,25,MIL,NL,5.6,156,659,584,97,168,28,2,18,81,24,8,66,150,.288,.359,.435,.794,121,.355,123,254,3,2,2,5,1,*4/H6,MVP-14,turanbr02
20,Trea Turner,32,PHI,NL,5.4,141,639,589,94,179,31,7,15,69,36,7,43,107,.304,.355,.457,.812,121,.368,124,269,11,5,0,2,1,*6/DH,MVP-5,turnetr01
21,Nick Kurtz*,22,ATH,AL,5.4,117,489,420,90,122,26,2,36,86,2,1,63,151,.290,.383,.619,1.002,173,.418,174,260,4,2,0,3,3,*3/DH,MVP-12ROY-1SS,kurtzni01
22,Gunnar Henderson*,24,BAL,AL,5.3,154,651,577,85,158,34,5,17,68,30,5,62,137,.274,.349,.438,.787,121,.349,122,253,7,7,0,5,6,*6/DH,,hendegu01
23,Zach Neto,24,LAA,AL,5.1,128,554,502,82,129,29,1,26,62,26,9,33,149,.257,.319,.474,.793,117,.341,115,238,5,14,2,3,6,*6/H,,netoza01
24,Cody Bellinger*,29,NYY,AL,5.1,152,656,588,89,160,25,5,29,98,13,2,57,90,.272,.334,.480,.813,125,.349,123,282,8,2,0,9,1,*798/3H,MVP-14,bellico01
25,Mookie Betts,32,LAD,NL,4.9,150,663,589,95,152,23,2,20,82,8,2,61,68,.258,.326,.406,.732,104,.322,102,239,15,3,0,10,2,*6/H9,,bettsmo01
26,Byron Buxton,31,MIN,AL,4.9,126,542,488,97,129,21,7,35,83,24,0,41,148,.264,.327,.551,.878,136,.383,139,269,0,7,0,6,5,*8/D,ASMVP-11SS,buxtoby01
27,George Springer,35,TOR,AL,4.8,140,586,498,106,154,27,1,32,84,18,1,69,111,.309,.399,.560,.959,161,.414,165,279,14,8,0,4,3,D978/H,MVP-7SS,springe01
28,Ceddanne Rafaela,24,BOS,AL,4.7,156,587,546,84,136,34,4,16,63,20,5,28,117,.249,.295,.414,.708,95,.309,92,226,9,8,3,2,0,*84/H,GG,rafaece01
29,Jarren Duran*,28,BOS,AL,4.7,157,696,620,86,159,41,13,16,84,24,6,60,169,.256,.332,.442,.774,114,.345,118,274,6,12,1,3,1,*78/H9D,,duranja01
30,Kyle Schwarber*,32,PHI,NL,4.7,162,724,604,111,145,23,2,56,132,10,2,108,197,.240,.365,.563,.928,150,.396,149,340,4,11,0,1,6,*D/7,ASMVP-2,schwaky01
31,Vladimir Guerrero Jr.,26,TOR,AL,4.6,156,680,589,96,172,34,0,23,84,6,3,81,94,.292,.381,.467,.848,133,.365,133,275,17,6,0,4,8,*3D/H,ASMVP-13,guerrvl02
32,Michael Busch*,27,CHC,NL,4.6,155,592,524,78,137,25,5,34,90,4,0,56,139,.261,.343,.523,.866,147,.376,148,274,2,10,0,2,2,*3H/D,MVP-16,buschmi02
33,Kyle Tucker*,28,CHC,NL,4.6,136,597,500,91,133,25,4,22,73,25,3,87,88,.266,.377,.464,.841,143,.375,143,232,8,4,1,3,7,*9D/H,ASSS,tuckeky01
34,Dansby Swanson,31,CHC,NL,4.5,159,645,590,84,144,24,3,24,77,20,3,47,168,.244,.300,.417,.717,105,.323,108,246,9,2,1,5,1,*6,,swansda01
35,Will Smith,30,LAD,NL,4.5,110,436,362,64,107,20,1,17,61,2,3,64,89,.296,.404,.497,.901,152,.387,151,180,7,5,0,5,1,2H/D,ASMVP-20,smithwi05
36,Junior Caminero,21,TBR,AL,4.4,154,653,602,93,159,28,0,45,110,7,1,41,125,.264,.311,.535,.846,131,.366,136,322,31,3,0,7,1,*5/DH3,ASMVP-9,caminju01
37,Ketel Marte#,31,ARI,NL,4.4,126,556,480,87,136,28,0,28,72,4,2,64,83,.283,.376,.517,.893,145,.381,142,248,12,9,0,3,6,4D/H,ASMVP-22SS,marteke01
38,Ernie Clement,29,TOR,AL,4.3,157,588,545,83,151,35,2,9,50,6,5,27,61,.277,.313,.398,.711,95,.306,91,217,13,4,7,5,1,5463H,,clemeer01
39,Tyler Soderstrom*,23,ATH,AL,4.3,158,624,561,75,155,34,1,25,93,8,3,55,141,.276,.346,.474,.820,126,.352,125,266,18,6,0,2,2,73H/D,,soderty01
40,Jazz Chisholm Jr.*,27,NYY,AL,4.2,130,531,462,75,112,15,1,31,80,31,8,58,148,.242,.332,.481,.813,125,.357,127,222,3,6,1,4,1,45/H,ASSS,chishja01
41,Rafael Devers*,28,2TM,2LG,4.1,163,729,607,99,153,33,0,35,109,1,1,112,192,.252,.372,.479,.851,140,.366,139,291,16,6,0,4,10,*D3/5H,,deverra01
42,Matt Chapman,32,SFG,NL,4.1,128,535,454,76,105,23,2,21,61,9,4,71,126,.231,.340,.430,.770,120,.341,122,195,8,6,0,4,1,*5,,chapmma01
